x,y,z,dose
-30,-15,-25,52.981989357034685
-30,-15,-15,65.79717807801083
-30,-15,-5,73.41268962290648
-30,-15,5,73.4126897022504
-30,-15,15,65.79717827451913
-30,-15,25,52.98198952268569
-30,-5,-25,62.49168886032192
-30,-5,-15,79.93661988333301
-30,-5,-5,90.2627380677739
-30,-5,5,90.26273822887899
-30,-5,15,79.93662027746498
-30,-5,25,62.49168919067349
-30,5,-25,62.49168886032192
-30,5,-15,79.93661988333301
-30,5,-5,90.2627380677739
-30,5,5,90.26273822887899
-30,5,15,79.93662027746498
-30,5,25,62.49168919067349
-30,15,-25,52.981989357034685
-30,15,-15,65.79717807801083
-30,15,-5,73.41268962290648
-30,15,5,73.4126897022504
-30,15,15,65.79717827451913
-30,15,25,52.98198952268569
-20,-15,-25,81.3323380220479
-20,-15,-15,109.3402908882942
-20,-15,-5,125.47980164457071
-20,-15,5,125.47980182668044
-20,-15,15,109.34029140254587
-20,-15,25,81.33233842443055
-20,-5,-25,109.59791313332293
-20,-5,-15,159.8954495881232
-20,-5,-5,186.49271032713455
-20,-5,5,186.49271093954218
-20,-5,15,159.8954513978603
-20,-5,25,109.59791441221371
-20,5,-25,109.59791313332293
-20,5,-15,159.8954495881232
-20,5,-5,186.49271032713455
-20,5,5,186.49271093954218
-20,5,15,159.8954513978603
-20,5,25,109.59791441221371
-20,15,-25,81.3323380220479
-20,15,-15,109.3402908882942
-20,15,-5,125.47980164457071
-20,15,5,125.47980182668044
-20,15,15,109.34029140254587
-20,15,25,81.33233842443055
-10,-15,-25,119.91473117280009
-10,-15,-15,176.74050275703814
-10,-15,-5,206.59734234267162
-10,-15,5,206.597342257004
-10,-15,15,176.74050335035537
-10,-15,25,119.9147315864751
-10,-5,-25,225.9144869936232
-10,-5,-15,449.432504004164
-10,-5,-5,514.916106315619
-10,-5,5,514.9161087332267
-10,-5,15,449.432517973248
-10,-5,25,225.9144918795867
-10,5,-25,225.9144869936232
-10,5,-15,449.432504004164
-10,5,-5,514.916106315619
-10,5,5,514.9161087332267
-10,5,15,449.432517973248
-10,5,25,225.9144918795867
-10,15,-25,119.91473117280009
-10,15,-15,176.74050275703814
-10,15,-5,206.59734234267162
-10,15,5,206.597342257004
-10,15,15,176.74050335035537
-10,15,25,119.9147315864751
0,-15,-25,140.3553608242714
0,-15,-15,214.29164303960485
0,-15,-5,251.06566147915217
0,-15,5,251.06565913449455
0,-15,15,214.291640434153
0,-15,25,140.35535929079066
0,-5,-25,307.6512074334949
0,-5,-15,668.5293015498584
0,-5,-5,749.7586690528466
0,-5,5,749.7586438159209
0,-5,15,668.5292978798686
0,-5,25,307.65120291695735
0,5,-25,307.6512074334949
0,5,-15,668.5293015498584
0,5,-5,749.7586690528466
0,5,5,749.7586438159209
0,5,15,668.5292978798686
0,5,25,307.65120291695735
0,15,-25,140.3553608242714
0,15,-15,214.29164303960485
0,15,-5,251.06566147915217
0,15,5,251.06565913449455
0,15,15,214.291640434153
0,15,25,140.35535929079066
10,-15,-25,118.54050457953359
10,-15,-15,173.52415107908033
10,-15,-5,201.70435027160792
10,-15,5,201.70434718360775
10,-15,15,173.52414657122696
10,-15,25,118.54050168238382
10,-5,-25,222.09208126414308
10,-5,-15,433.38844058529935
10,-5,-5,485.9082242163796
10,-5,5,485.90819421718857
10,-5,15,433.38842034077373
10,-5,25,222.0920703281613
10,5,-25,222.09208126414308
10,5,-15,433.38844058529935
10,5,-5,485.9082242163796
10,5,5,485.90819421718857
10,5,15,433.38842034077373
10,5,25,222.0920703281613
10,15,-25,118.54050457953359
10,15,-15,173.52415107908033
10,15,-5,201.70435027160792
10,15,5,201.70434718360775
10,15,15,173.52414657122696
10,15,25,118.54050168238382
20,-15,-25,80.03501989072205
20,-15,-15,106.94340834450085
20,-15,-5,122.17664930133701
20,-15,5,122.17664803159788
20,-15,15,106.94340599864046
20,-15,25,80.0350180430852
20,-5,-25,107.44284922997561
20,-5,-15,155.17428780866808
20,-5,-5,179.48671714740178
20,-5,5,179.48671376730226
20,-5,15,155.1742826094347
20,-5,25,107.44284574800929
20,5,-25,107.44284922997561
20,5,-15,155.17428780866808
20,5,-5,179.48671714740178
20,5,5,179.48671376730226
20,5,15,155.1742826094347
20,5,25,107.44284574800929
20,15,-25,80.03501989072205
20,15,-15,106.94340834450085
20,15,-5,122.17664930133701
20,15,5,122.17664803159788
20,15,15,106.94340599864046
20,15,25,80.0350180430852
30,-15,-25,52.11349878688164
30,-15,-15,64.4574244741936
30,-15,-5,71.72495286045815
30,-15,5,71.72495242675423
30,-15,15,64.45742353910497
30,-15,25,52.11349787867319
30,-5,-25,61.3263984374712
30,-5,-15,78.02547234065672
30,-5,-5,87.7768560711558
30,-5,5,87.77685535986235
30,-5,15,78.02547088458793
30,-5,25,61.32639713356645
30,5,-25,61.3263984374712
30,5,-15,78.02547234065672
30,5,-5,87.7768560711558
30,5,5,87.77685535986235
30,5,15,78.02547088458793
30,5,25,61.32639713356645
30,15,-25,52.11349878688164
30,15,-15,64.4574244741936
30,15,-5,71.72495286045815
30,15,5,71.72495242675423
30,15,15,64.45742353910497
30,15,25,52.11349787867319
